,time,1,2,3,7,10,28,29,30
sources/16-01-2021_21:17:02-806145f6-ebae-43e3-848f-3d6b26d803bd,2.1230010986328125,False,False,False,False,True,False,False,False
sources/02-02-2021_07:09:14-d866b2c0-6eca-40e1-ad93-5f4feab08421,2.6966640949249268,True,True,True,True,True,False,False,False
sources/14-01-2021_00:30:27-39f1a1db-904a-4069-9a35-005847b9101c,2.0898070335388184,False,False,True,True,True,False,False,False
sources/03-01-2021_15:15:25-109d0932-6702-4390-9e4c-d01177e1fb5c,2.783583879470825,False,False,True,True,True,False,False,False
sources/15-01-2021_00:56:43-7e43bff4-5cec-48e2-8697-1e72f81a8522,3.250166177749634,True,True,True,True,True,False,False,False
sources/03-01-2021_21:35:17-26e43698-7653-46eb-9ba4-e3a4502db126,1.9443550109863281,False,True,True,True,True,False,False,False
sources/30-01-2021_21:49:54-c453e481-e0cc-4509-b321-f8dce76be00a,1.8296258449554443,False,False,False,False,True,False,False,False
sources/20-01-2021_21:05:05-ab9362e1-e884-4648-86a4-d22e9cb0acf5,2.1741318702697754,True,True,True,True,True,True,True,True
sources/05-01-2021_22:50:08-fc67332b-fb3f-401b-a506-dd13e0bb3a35,2.3701350688934326,True,True,True,True,True,False,False,False
sources/23-01-2021_14:16:23-e08b689e-100e-437f-9f33-559ff3436567,3.5266191959381104,False,True,True,True,True,False,False,False
sources/09-01-2021_12:16:22-976e8c69-7daa-4a54-9f65-aac75dd06161,1.581394910812378,True,True,True,True,True,True,False,False
sources/08-01-2021_06:43:31-34ae78bd-fdb2-4e8b-898d-a9d8de973fce,2.225879192352295,True,True,True,True,True,True,True,False
sources/12-01-2021_22:47:37-f9295b32-8440-413b-b276-47f8a7d5932a,2.8789331912994385,True,True,True,True,True,True,True,True
sources/10-01-2021_19:44:20-25454325-9ab0-49de-86b2-03d8917d028f,1.716700792312622,True,True,True,True,True,False,False,False
sources/20-01-2021_13:09:23-a7a7daaa-03ae-4233-887f-1b1d5445b477,1.9613277912139893,True,True,True,True,True,True,True,True
sources/14-01-2021_02:33:23-6224035c-741c-4216-a777-79e6e6243224,1.497331142425537,False,False,False,True,True,False,False,False
sources/13-01-2021_12:17:09-2f78e3ed-599e-4b9d-b519-11a234970dbb,2.140709161758423,True,True,True,True,True,True,True,True
sources/13-01-2021_04:55:22-c509b98d-71db-48ba-81bc-971bd01d9089,1.8532049655914307,False,False,True,True,True,True,True,True
sources/17-01-2021_07:40:19-3abe4f55-12d6-49e8-b469-c010e67dd60b,2.076056718826294,False,False,True,True,False,False,False,False
sources/04-01-2021_13:24:03-745b61ff-3200-4d43-bf01-88d4cdac8656,2.3058180809020996,False,False,False,True,True,False,False,False
sources/02-01-2021_17:43:17-f7b9c5f6-bb80-444a-955f-5d2ed8e35f81,1.5521249771118164,True,True,True,False,False,False,False,False
sources/13-01-2021_19:32:39-2321dab5-9170-488f-a8af-57ccd1c54865,1.7775959968566895,False,False,True,True,True,True,True,False
sources/21-01-2021_14:14:42-d268f945-2d5b-496a-89e5-5ff15394f0ac,2.387455940246582,True,True,True,True,True,True,True,True
sources/31-12-2020_19:44:00-4941d5d5-fb24-4d07-add9-00bb1077bd75,2.169218063354492,True,True,True,True,True,False,False,False
sources/04-01-2021_13:37:35-4376ffae-122c-4330-96bc-bf9197f68080,2.0051939487457275,False,True,True,True,True,True,True,True
sources/13-01-2021_23:15:53-3af03d3b-751e-471d-b0cb-c6985b1725f9,3.677272081375122,False,False,True,True,True,False,False,False
sources/12-01-2021_17:44:23-0d8459cf-c630-4c27-bf43-abc49023a132,2.060119152069092,False,False,False,True,True,True,True,True
sources/17-01-2021_01:55:01-9683e2cf-b10f-4365-9d2c-b54d229cd6c5,2.3827922344207764,True,True,True,True,True,False,False,False
sources/14-01-2021_22:51:39-abb76840-16d4-42ac-acda-b642275a9675,4.3043129444122314,False,False,False,False,False,False,False,False
sources/13-01-2021_00:57:30-02c3cc40-e847-4c4f-91ef-d2cd8bd84a77,1.5403461456298828,False,False,True,True,True,False,False,False
sources/12-01-2021_17:23:13-c8db0e5b-4a4f-424b-b34b-2eb9f8af957e,2.2415058612823486,True,True,True,True,True,True,True,True
sources/04-01-2021_22:00:47-13ef0b1f-c548-47ed-b9d8-cbc99f657efe,1.8389010429382324,True,True,True,True,True,True,False,False
sources/12-01-2021_17:30:42-00f3e7dd-cd43-48fd-94d9-ef87c4332442,2.3119752407073975,False,False,False,False,False,False,False,False
sources/16-01-2021_23:43:10-25839531-720c-4eea-8c43-7b02512475f2,2.4064929485321045,True,True,True,True,True,False,False,False
sources/16-01-2021_22:24:28-2c69ce7d-40ec-4997-8da1-3f6849602950,4.128159999847412,False,False,False,False,False,False,False,False
sources/21-01-2021_09:35:21-33099857-62bb-4888-b2ee-e680c861a114,2.245666027069092,True,True,True,True,True,True,True,True
sources/16-01-2021_21:18:34-b5d2edee-f5cd-4902-9288-4c682df3dd4e,2.3907268047332764,True,True,True,True,True,False,False,False
sources/24-01-2021_17:43:49-1ecf0063-42ff-4813-a9b9-8b550ad02f55,1.9234178066253662,True,True,True,True,True,True,True,True
sources/23-01-2021_14:37:34-545f10b9-1285-4d18-9ac8-813eeebde0e7,2.4028313159942627,False,False,False,False,False,False,False,False
sources/12-01-2021_16:45:22-59b76815-42df-407e-b55f-037efa22e7b7,2.2825920581817627,False,True,True,True,True,False,False,False
sources/10-01-2021_19:23:48-0cf0e782-d789-4c60-b386-edbe34a2bfad,2.9888503551483154,True,True,True,True,True,False,False,False
sources/12-01-2021_22:28:42-a4687bd0-b0d9-43e1-8262-84d35bf10baf,2.7631380558013916,False,False,False,False,False,False,False,False
sources/26-01-2021_16:28:42-b01704bb-4837-4c55-b9d9-be52f79f3a5f,3.366813898086548,True,True,True,True,True,True,True,True
sources/02-01-2021_12:59:13-32cd91f6-f079-413f-921a-6401d9a6752e,2.7002439498901367,False,False,True,True,True,False,False,False
sources/02-01-2021_10:38:34-45131fee-83b8-46f3-b3fa-27314da41f1a,1.456664800643921,True,True,True,True,True,True,True,False
sources/12-01-2021_18:38:42-4ee43891-ba37-41e2-a4c3-a70e81093513,2.9756438732147217,True,True,True,True,True,False,False,False
sources/31-12-2020_19:46:31-a803d8b4-075a-4722-a56d-a628fba6b4cb,2.5760140419006348,True,True,True,True,False,False,False,True
sources/03-01-2021_21:04:07-0a85b68b-debe-44cd-bd85-75ddd064ad69,1.7518079280853271,False,False,False,True,True,True,True,True
sources/03-01-2021_20:52:52-d645e5ce-014b-492f-ab5a-38d9d411bf7c,1.348188877105713,False,False,False,False,False,False,False,False
sources/21-01-2021_17:10:07-a8534cb4-eda3-4373-b9e5-559130b34546,2.133826971054077,True,True,True,True,True,False,False,False
sources/05-02-2021_07:37:01-2d196ed0-85a4-49e7-a971-7d6c47052fc9,3.2980189323425293,False,True,True,False,False,True,True,True
sources/09-01-2021_14:29:33-8848f69d-8dca-45d9-ab45-fc81e9bad20c,1.4127650260925293,False,False,False,False,False,False,False,False
sources/20-01-2021_16:00:26-115d87b2-0471-4ff2-a574-ab6b70d0561a,1.6421959400177002,True,True,True,True,True,False,False,False
sources/17-01-2021_12:30:30-c3f6bf90-eb3e-48ae-82ca-346408d3ff15,2.83697509765625,True,True,True,True,True,False,False,False
sources/02-02-2021_16:53:25-e5e7aff6-c079-4775-b3bd-21839eb868a9,1.9341981410980225,False,False,False,False,False,False,True,False
sources/31-12-2020_17:20:30-28647eee-4e7a-4e3d-a9c8-b8785e71d0ff,1.4292197227478027,False,False,False,False,False,False,False,False
sources/18-01-2021_12:27:24-99ef1a94-f43b-4869-bd36-d8a2887e348d,1.6944472789764404,True,True,True,True,True,True,True,False
sources/13-01-2021_18:08:05-33a95b23-e1b8-49f9-818c-97ab84521f42,2.2006592750549316,False,False,False,True,True,True,True,True
sources/12-01-2021_16:26:18-56a07686-41ee-4488-b844-074fcf8f271f,1.8722341060638428,True,True,True,True,True,True,True,False
sources/03-01-2021_20:23:18-45daa52f-8fbb-412f-a60c-28cfded6843b,2.4067740440368652,True,True,True,True,True,False,False,False
sources/12-01-2021_20:35:39-9e92b514-47b1-4c8e-9aff-10c8bb9ff231,1.7697627544403076,False,False,False,True,True,True,True,True
sources/17-01-2021_12:25:55-7a656805-3fda-4ada-870b-ceb33962b7c3,1.687701940536499,True,True,True,True,True,True,True,True
sources/10-01-2021_19:21:52-3feb776a-d486-4655-8c6a-1e13723a3ba0,2.1265757083892822,True,True,True,True,True,True,True,True
sources/17-01-2021_16:44:38-52f93e1c-5f99-4e40-9dbc-17f7b4290283,2.091852903366089,True,True,True,True,True,False,False,False
sources/12-01-2021_19:47:23-71cf1c07-1e7a-4061-85fd-e2bc6fdf745c,2.0745348930358887,True,True,True,True,True,True,True,False
sources/20-01-2021_19:33:44-c2b643ee-e12a-4e96-9cc2-634037423605,1.9002392292022705,True,True,True,True,True,True,True,True
sources/01-01-2021_09:08:57-8a21b69d-4951-4220-a119-e9edf3601900,1.5834269523620605,True,True,True,True,True,False,False,False
sources/08-01-2021_16:35:25-bd4b7f28-dacb-4cd7-87a3-fb4ea7779cad,1.5123789310455322,True,True,True,True,True,False,False,False
sources/20-01-2021_17:22:01-ed926e96-fad9-4fd1-b32f-dc81d37da2a2,2.8244547843933105,True,True,True,True,True,True,True,True
sources/16-01-2021_19:38:45-40b3d942-8e8d-4c36-805a-714e5aa89459,2.0950918197631836,True,True,True,True,True,False,False,False
sources/05-01-2021_19:52:32-46167a68-8dfc-49c3-b5da-9ce2dcc56436,1.7676951885223389,False,False,False,True,True,False,False,False
sources/15-01-2021_18:08:53-0b4d872a-9e0c-4747-a8f3-0987dd5004d9,2.6706809997558594,True,True,True,True,True,True,True,False
sources/04-01-2021_14:57:59-891fc177-4691-4ec2-bbc7-070471344132,2.0894458293914795,True,True,True,True,True,False,False,False
sources/27-01-2021_10:34:56-aa24ac34-badf-417a-85d0-fa320cb4f632,3.049748182296753,True,True,True,True,True,True,True,True
sources/13-01-2021_03:23:37-a9fe218b-db71-4b21-bd1d-39b4769fef03,1.867715835571289,True,True,True,True,True,True,True,False
sources/15-01-2021_00:50:55-3d0160eb-65fb-4986-9c2e-4496d855108b,2.3878419399261475,False,True,True,True,True,True,True,True
sources/05-01-2021_11:57:49-72faab96-3888-4ab1-97de-69a6c899fc9b,1.9344959259033203,True,True,True,True,True,True,True,False
sources/02-01-2021_09:34:16-7e72bb07-b7e7-4e60-9987-f71579c4d2d0,1.5926902294158936,True,True,True,True,True,False,False,False
sources/11-01-2021_02:25:09-73530fbf-b709-40ef-914d-791d5eb17311,1.8553011417388916,False,False,True,True,True,False,False,False
sources/16-01-2021_13:46:34-fc1ed646-81f8-4ad4-adc5-e3cf588c0158,1.6724638938903809,False,False,False,False,False,False,False,False
sources/21-01-2021_15:06:18-e58f408b-45ef-48ee-90b0-8b9574e73ee0,1.5556888580322266,False,False,False,True,True,False,False,False
sources/13-01-2021_22:00:55-ef73968c-cb2b-4ef2-8717-1d3234d238b9,2.1832590103149414,True,True,True,True,True,False,False,False
sources/14-01-2021_02:31:52-f351300d-1630-493d-91e4-eb830e333f3b,1.867609977722168,True,True,True,True,True,True,False,False
sources/20-01-2021_18:22:18-33badea4-3cbf-4c4e-bf7a-50dc0ab79606,1.5028088092803955,False,False,False,False,False,False,False,False
sources/06-01-2021_08:33:44-af881915-bd47-4b0e-b8bd-bc77a64d80da,1.7710530757904053,False,False,False,True,True,True,True,True
sources/14-01-2021_01:14:24-89458f27-cfcf-4aa6-9675-0622af3c5374,2.3033432960510254,True,True,True,True,True,True,True,True
